table,project,sponsors,link
87,Pokereno,"Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71375-pokereno
88,Blood Analyst ,"Best Philantrophic Hack | Bloomberg, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71376-blood-analyst
89,Rotational Plane Tetris,"Best Hack for Air Traffic Control - C2 Technologies, Most Humorous Hack - Bitcamp, Best X for Y - Bitcamp",http://bitcamp2017.devpost.com/submissions/71377-rotational-plane-tetris
90,Therame,"Credible Challenge, Best Philantrophic Hack | Bloomberg, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71378-therame
91,Pix-It-Up,"Most Humorous Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71379-pix-it-up
92,H2O,"Best iOS App - MakeSchool, Credible Challenge, Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71380-h2o
93,PuzzleSeeing,"Most Humorous Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71381-puzzleseeing
94,ImagineAR,"Smart Document Analytics - FINRA, Most Creative Work Collaboration - Leidos, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71382-imaginear
95,Talk ASL to Me,"Best Philantrophic Hack | Bloomberg, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71383-talk-asl-to-me
96,MC Donald,"Most Humorous Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71384-mc-donald
97,LookOwt,"Best Domain Name from Domain.com, Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71385-lookowt
